# Source,Target,Weight,Type
# Note that I deleted the type field (these are all chemical)
I1L , I2L           ,10
I1L , I3            ,3
I1L , I5            ,2
I1L , I6            ,1
I1L , M2L           ,3
I1L , M3L           ,8
I1L , M3R           ,2
I1L , MCL           ,2
I1L , MCR           ,2
I1L , MI            ,2
I1L , NSML          ,3
I1L , pm1vl         ,2
I1L , pm3vl         ,7
I1L , pm4d          ,1
I1L , pm4vl         ,2
I1R , I2R           ,6
I1R , I3            ,1
I1R , I5            ,2
I1R , M1            ,1
I1R , M2L           ,1
I1R , M2R           ,3
I1R , M3L           ,1
I1R , M3R           ,6
I1R , MCL           ,3
I1R , MCR           ,4
I1R , MI            ,1
I1R , NSML          ,1
I1R , NSMR          ,2
I1R , pm1vr         ,1
I1R , pm3vr         ,5
I1R , pm4d          ,1
I1R , pm4vr         ,2
I1R , pm5vr         ,1
I2L , I1L           ,2
I2L , I2R           ,3
I2L , I4            ,13
I2L , I5            ,2
I2L , M1            ,1
I2L , NSML          ,14
I2L , NSMR          ,24
I2L , pm3vl         ,1
I2L , pm4vl         ,2
I2L , pm5d          ,1
I2L , pm5vl         ,2
I2L , pm5vr         ,1
I2R , I1R           ,1
I2R , I2L           ,3
I2R , I4            ,20
I2R , I5            ,2
I2R , M1            ,3
I2R , M2R           ,2
I2R , M3R           ,2
I2R , M4            ,3
I2R , MCL           ,1
I2R , NSML          ,34
I2R , NSMR          ,7
I2R , pm1vr         ,1
I2R , pm3vr         ,1
I2R , pm4d          ,2
I2R , pm4vl         ,1
I2R , pm5vl         ,1
I2R , pm5vr         ,4
I3 , I1L           ,1
I3 , I5            ,2
I3 , I6            ,1
I3 , M1            ,2
I3 , M2L           ,2
I3 , M3L           ,2
I3 , M3R           ,2
I3 , M4            ,2
I3 , MCL           ,1
I3 , MCR           ,2
I3 , MI            ,1
I3 , NSMR          ,2
I3 , pm4d          ,2
I3 , pm5d          ,4
I4 , I2R           ,7
I4 , I5            ,2
I4 , M2L           ,5
I4 , M3L           ,6
I4 , M3R           ,22
I4 , MI            ,1
I4 , NSML          ,8
I4 , NSMR          ,15
I4 , pm4d          ,1
