# Name1, Name2, weight
I1L , I2L         ,2
I1L , M3L         ,2
I1L , MCR         ,1
I1L , NSML        ,3
I1L , pm4vl       ,1
I1L , RIPL        ,2
I1R , I2R         ,1
I1R , I3          ,1
I1R , MCR         ,4
I1R , NSMR        ,2
I1R , pm3vr       ,3
I1R , pm4vr       ,2
I1R , RIPR        ,2
I2L , I1L         ,2
I2L , I4          ,1
I2L , M2L         ,1
I2R , I1R         ,1
I2R , M1          ,1
I2R , M2R         ,1
I2R , MCR         ,1
I2R , NSMR        ,2
I3 , I1R         ,1
I3 , M1          ,1
I3 , MI          ,1
I3 , pm4d        ,3
I3 , pm5d        ,1
I4 , I2L         ,1
I4 , M2R         ,2
I4 , M4          ,1
I4 , pm5vl       ,1
I5 , M2L         ,1
I5 , M2R         ,1
I5 , M5          ,1
I6 , M4          ,5
M1 , I2R         ,1
M1 , I3          ,1
M1 , pm5d        ,3
M2L , I2L         ,1
M2L , I5          ,1
M2L , M4          ,1
M2L , MCL         ,1
M2L , pm4vl       ,1
M2L , pm5vl       ,1
M2R , I2R         ,1
M2R , I4          ,2
M2R , I5          ,1
M2R , M3R         ,1
M2R , MCR         ,11
M2R , MI          ,5
M2R , pm5d        ,1
M3L , I1L         ,2
M3L , NSMR        ,1
M3L , pm4d        ,2
M3L , pm5d        ,1
M3L , pm5vl       ,1
M3R , M2R         ,1
M3R , NSMR        ,2
M3R , pm4vr       ,1
M3R , pm5d        ,1
M3R , pm5vr       ,1
M4 , I4          ,1
M4 , I6          ,5
M4 , M2L         ,1
M4 , M4          ,1
M4 , M5          ,2
M4 , pm5d        ,1
M4 , pm5vl       ,1
M4 , pm5vr       ,1
M5 , I5          ,1
M5 , M4          ,2
M5 , M5          ,1
M5 , pm5vl       ,2
M5 , pm6vr       ,2
MCL , M2L         ,1
MCR , I1L         ,1
MCR , I1R         ,4
MCR , I2R         ,1
MCR , M2R         ,11
MI , I3          ,1
MI , M2R         ,5
MI , pm4d        ,3
NSML , I1L         ,3
NSML , NSMR        ,2
NSMR , I1R         ,2
NSMR , I2R         ,2
NSMR , M3L         ,1
NSMR , M3R         ,2
NSMR , NSML        ,2
NSMR , pm5d        ,2
pm1d , pm2d        ,2
pm1vl , pm2vl       ,2
pm1vr , pm2vr       ,2
pm2d , pm1d        ,2
pm2d , pm3d        ,2
pm2vl , pm1vl       ,2
pm2vl , pm3vl       ,2
pm2vr , pm1vr       ,2
pm2vr , pm3vr       ,2
pm3d , pm2d        ,2
pm3d , pm4d        ,2
pm3d , mc1dl       ,2
pm3d , mc1dr       ,2
pm3vl , pm2vl       ,2
pm3vl , pm4vl       ,2
pm3vl , mc1dl       ,2
pm3vl , mc1v        ,2
pm3vr , I1R         ,3
pm3vr , pm2vr       ,2
pm3vr , pm4vr       ,2
pm3vr , mc1v        ,2
pm4d , I3          ,3
pm4d , M3L         ,2
pm4d , MI          ,3
pm4d , pm3d        ,2
pm4d , pm5d        ,2
pm4d , mc1dl       ,2
pm4d , mc1dr       ,2
pm4vl , I1L         ,1
pm4vl , M2L         ,1
pm4vl , pm3vl       ,2
pm4vl , pm5vl       ,2
